authors	title	venue	year
Baoshi Zhu,Jian-Kang Wu,Mohan S. Kankanhalli	Print signatures for document authentication.	ACM CCS	2003
Aggelos Kiayias,Qiang Tang 0005	Traitor Deterring Schemes: Using Bitcoin as Collateral for Digital Content.	ACM CCS	2015
Stuart Haber,W. Scott Stornetta	Secure Names for Bit-Strings.	ACM CCS	1997
Sjouke Mauw,Zach Smith,Jorge Toro-Pozo,Rolando Trujillo-Rasua	Post-Collusion Security and Distance Bounding.	ACM CCS	2019
Grégoire Menguy,Sébastien Bardin,Richard Bonichon,Cauim de Souza Lima	Search-Based Local Black-Box Deobfuscation: Understand, Improve and Mitigate.	ACM CCS	2021
Tadayoshi Kohno	Attacking and repairing the winZip encryption scheme.	ACM CCS	2004
Dimitris Geneiatakis,Georgios Portokalidis,Vasileios P. Kemerlis,Angelos D. Keromytis	Adaptive defenses for commodity software through virtual application partitioning.	ACM CCS	2012
Sujata Garera,Aviel D. Rubin	An independent audit framework for software dependent voting systems.	ACM CCS	2007
Diptikalyan Saha	Extending logical attack graphs for efficient vulnerability analysis.	ACM CCS	2008
Gottfried Herold,Max Hoffmann 0001,Michael Klooß,Carla Ràfols,Andy Rupp	New Techniques for Structural Batch Verification in Bilinear Groups with Applications to Groth-Sahai Proofs.	ACM CCS	2017
J. Alex Halderman,Brent Waters	Harvesting verifiable challenges from oblivious online sources.	ACM CCS	2007
Chien-Ying Chen,Debopam Sanyal,Sibin Mohan	Indistinguishability Prevents Scheduler Side Channels in Real-Time Systems.	ACM CCS	2021
Beverly Yang,Hector Garcia-Molina	PPay: micropayments for peer-to-peer systems.	ACM CCS	2003
Michael Backes 0001,Sven Bugiel,Erik Derr	Reliable Third-Party Library Detection in Android and its Security Applications.	ACM CCS	2016
Nico Döttling,Satrajit Ghosh,Jesper Buus Nielsen,Tobias Nilges,Roberto Trifiletti	TinyOLE: Efficient Actively Secure Two-Party Computation from Oblivious Linear Function Evaluation.	ACM CCS	2017
Marcel Kneib,Christopher Huth	Scission: Signal Characteristic-Based Sender Identification and Intrusion Detection in Automotive Networks.	ACM CCS	2018
Haichang Gao,Wei Wang,Jiao Qi,Xuqin Wang,Xiyang Liu,Jeff Yan	The robustness of hollow CAPTCHAs.	ACM CCS	2013
Xinming Ou,Wayne F. Boyer,Miles A. McQueen	A scalable approach to attack graph generation.	ACM CCS	2006
Mihir Bellare,Viet Tung Hoang,Stefano Tessaro	Message-Recovery Attacks on Feistel-Based Format Preserving Encryption.	ACM CCS	2016
Vireshwar Kumar,He Li 0007,Jung-Min Park 0001,Kaigui Bian,Yaling Yang	Group Signatures with Probabilistic Revocation: A Computationally-Scalable Approach for Providing Privacy-Preserving Authentication.	ACM CCS	2015
Kasper Bonne Rasmussen,Claude Castelluccia,Thomas S. Benjamin,Srdjan Capkun	Proximity-based access control for implantable medical devices.	ACM CCS	2009
Florian Kerschbaum,Axel Schröpfer	Optimal Average-Complexity Ideal-Security Order-Preserving Encryption.	ACM CCS	2014
Yupeng Zhang 0001,Jonathan Katz,Charalampos Papamanthou	IntegriDB: Verifiable SQL for Outsourced Databases.	ACM CCS	2015
Markus Kammerstetter,Christian Platzer,Gilbert Wondracek	Vanity, cracks and malware: insights into the anti-copy protection ecosystem.	ACM CCS	2012
Patrick Horster,Holger Petersen 0002,Markus Michels	Meta-ElGamal Signature Schemes.	ACM CCS	1994
Aldo Cassola,Erik-Oliver Blass,Guevara Noubir	Authenticating Privately over Public Wi-Fi Hotspots.	ACM CCS	2015
Abdul Serwadda,Vir V. Phoha	When kids' toys breach mobile phone security.	ACM CCS	2013
Zhenkai Liang,R. Sekar 0001	Fast and automated generation of attack signatures: a basis for building self-protecting servers.	ACM CCS	2005
Antonio Bianchi,Yan Shoshitaishvili,Christopher Krügel,Giovanni Vigna	Blacksheep: detecting compromised hosts in homogeneous crowds.	ACM CCS	2012
Riccardo Focardi,Flaminia L. Luccio	A Formally Verified Configuration for Hardware Security Modules in the Cloud.	ACM CCS	2021
Xavier Boyen	Reusable cryptographic fuzzy extractors.	ACM CCS	2004
Wei-Hong Chuang,Ravi Garg,Min Wu 0001	How secure are power network signature based time stamps?	ACM CCS	2012
Mingi Cho,Seoyoung Kim,Taekyoung Kwon 0002	Intriguer: Field-Level Constraint Solving for Hybrid Fuzzing.	ACM CCS	2019
Joshua D. Guttman,F. Javier Thayer,Lenore D. Zuck	The faithfulness of abstract protocol analysis: message authentication.	ACM CCS	2001
Aditya Pakki,Kangjie Lu	Exaggerated Error Handling Hurts! An In-Depth Study and Context-Aware Detection.	ACM CCS	2020
Brian Kondracki,Babak Amin Azad,Oleksii Starov,Nick Nikiforakis	Catching Transparent Phish: Analyzing and Detecting MITM Phishing Toolkits.	ACM CCS	2021
Michaela Hardt,Suman Nath	Privacy-aware personalization for mobile advertising.	ACM CCS	2012
Nikos Mavrogiannopoulos,Frederik Vercauteren,Vesselin Velichkov,Bart Preneel	A cross-protocol attack on the TLS protocol.	ACM CCS	2012
Rui Wen,Yu Yu,Xiang Xie,Yang Zhang 0016	LEAF: A Faster Secure Search Algorithm via Localization, Extraction, and Reconstruction.	ACM CCS	2020
Michael K. Reiter	Secure Agreement Protocols: Reliable and Atomic Group Multicast in Rampart.	ACM CCS	1994
Yushi Cheng,Xiaoyu Ji 0001,Juchuan Zhang,Wenyuan Xu,Yi-Chao Chen 0001	DeMiCPU: Device Fingerprinting with Magnetic Signals Radiated by CPU.	ACM CCS	2019
Zhiyong Fang,David Darais,Joseph P. Near,Yupeng Zhang	Zero Knowledge Static Program Analysis.	ACM CCS	2021
Long Lu,Vinod Yegneswaran,Phillip A. Porras,Wenke Lee	BLADE: an attack-agnostic approach for preventing drive-by malware infections.	ACM CCS	2010
Ranjit Kumaresan,Vinod Vaikuntanathan,Prashant Nalini Vasudevan	Improvements to Secure Computation with Penalties.	ACM CCS	2016
Mathy Vanhoef,Frank Piessens	Key Reinstallation Attacks: Forcing Nonce Reuse in WPA2.	ACM CCS	2017
Giorgos Vasiliadis,Michalis Polychronakis,Sotiris Ioannidis	MIDeA: a multi-parallel intrusion detection architecture.	ACM CCS	2011
Jiyong Jang,David Brumley,Shobha Venkataraman	BitShred: feature hashing malware for scalable triage and semantic analysis.	ACM CCS	2011
Alin Tomescu,Vivek Bhupatiraju,Dimitrios Papadopoulos 0001,Charalampos Papamanthou,Nikos Triandopoulos,Srinivas Devadas	Transparency Logs via Append-Only Authenticated Dictionaries.	ACM CCS	2019
Toby Xu,Ying Cai	Feeling-based location privacy protection for location-based services.	ACM CCS	2009
Yuan Xiao,Mengyuan Li,Sanchuan Chen,Yinqian Zhang	STACCO: Differentially Analyzing Side-Channel Traces for Detecting SSL/TLS Vulnerabilities in Secure Enclaves.	ACM CCS	2017
Li Gong	Lower Bounds on Messages and Rounds for Network Authentication Protocols.	ACM CCS	1993
Kasper Bonne Rasmussen,Srdjan Capkun	Location privacy of distance bounding protocols.	ACM CCS	2008
Matteo Campanelli,Dario Fiore 0001,Anaïs Querol	LegoSNARK: Modular Design and Composition of Succinct Zero-Knowledge Proofs.	ACM CCS	2019
Xuxian Jiang,Xinyuan Wang,Dongyan Xu	Stealthy malware detection through vmm-based "out-of-the-box" semantic view reconstruction.	ACM CCS	2007
Glenn Durfee,Matthew K. Franklin	Distribution chain security.	ACM CCS	2000
Jelle van den Hooff,M. Frans Kaashoek,Nickolai Zeldovich	VerSum: Verifiable Computations over Large Public Logs.	ACM CCS	2014
Hongxu Chen,Yinxing Xue,Yuekang Li,Bihuan Chen 0001,Xiaofei Xie,Xiuheng Wu,Yang Liu 0003	Hawkeye: Towards a Desired Directed Grey-box Fuzzer.	ACM CCS	2018
Melissa Chase,Trevor Perrin,Gregory M. Zaverucha	The Signal Private Group System and Anonymous Credentials Supporting Efficient Verifiable Encryption.	ACM CCS	2020
Cédric Fournet,Jérémy Planul,Tamara Rezk	Information-flow types for homomorphic encryptions.	ACM CCS	2011
Lianying Zhao,Mohammad Mannan	Hypnoguard: Protecting Secrets across Sleep-wake Cycles.	ACM CCS	2016
Nethanel Gelernter,Amir Herzberg	Cross-Site Search Attacks.	ACM CCS	2015
Bruno Blanchet,Miriam Paiola	Automatic verification of protocols with lists of unbounded length.	ACM CCS	2013
Mingshen Sun,Tao Wei,John C. S. Lui	TaintART: A Practical Multi-level Information-Flow Tracking System for Android RunTime.	ACM CCS	2016
Omar Chowdhury,Deepak Garg 0001,Limin Jia 0001,Anupam Datta	Equivalence-based Security for Querying Encrypted Databases: Theory and Application to Privacy Policy Audits.	ACM CCS	2015
Qi Alfred Chen,Matthew Thomas,Eric Osterweil,Yulong Cao,Jie You,Z. Morley Mao	Client-side Name Collision Vulnerability in the New gTLD Era: A Systematic Study.	ACM CCS	2017
Giuseppe Ateniese,Susan Hohenberger	Proxy re-signatures: new definitions, algorithms, and applications.	ACM CCS	2005
Duc Bui,Yuan Yao,Kang G. Shin,Jong-Min Choi,Jun-Bum Shin	Consistency Analysis of Data-Usage Purposes in Mobile Apps.	ACM CCS	2021
Riccardo Paccagnella,Kevin Liao,Jing (Dave) Tian,Adam Bates 0001	Logging to the Danger Zone: Race Condition Attacks and Defenses on System Audit Frameworks.	ACM CCS	2020
Andrey Chudnov,David A. Naumann	Inlined Information Flow Monitoring for JavaScript.	ACM CCS	2015
Aaron Bohannon,Benjamin C. Pierce,Vilhelm Sjöberg,Stephanie Weirich,Steve Zdancewic	Reactive noninterference.	ACM CCS	2009
Vijayalakshmi Atluri,Soon Ae Chun,Pietro Mazzoleni	A Chinese wall security model for decentralized workflow systems.	ACM CCS	2001
Seungwon Shin,YongJoo Song,Taekyung Lee,Sangho Lee 0003,Jaewoong Chung,Phillip A. Porras,Vinod Yegneswaran,Jiseong Noh,Brent ByungHoon Kang	Rosemary: A Robust, Secure, and High-performance Network Operating System.	ACM CCS	2014
Michael D. Ernst,René Just,Suzanne Millstein,Werner Dietl,Stuart Pernsteiner,Franziska Roesner,Karl Koscher,Paulo Barros,Ravi Bhoraskar,Seungyeop Han,Paul Vines,Edward XueJun Wu	Collaborative Verification of Information Flow for a High-Assurance App Store.	ACM CCS	2014
Yuanshun Yao,Huiying Li,Haitao Zheng 0001,Ben Y. Zhao	Latent Backdoor Attacks on Deep Neural Networks.	ACM CCS	2019
Henry Birge-Lee,Liang Wang 0054,Jennifer Rexford,Prateek Mittal	SICO: Surgical Interception Attacks by Manipulating BGP Communities.	ACM CCS	2019
Mary Maller,Sean Bowe,Markulf Kohlweiss,Sarah Meiklejohn	Sonic: Zero-Knowledge SNARKs from Linear-Size Universal and Updatable Structured Reference Strings.	ACM CCS	2019
Makoto Murata,Akihiko Tozawa,Michiharu Kudo,Satoshi Hada	XML access control using static analysis.	ACM CCS	2003
Cédric Fournet,Markulf Kohlweiss,Pierre-Yves Strub	Modular code-based cryptographic verification.	ACM CCS	2011
Isaac C. Sheff,Tom Magrino,Jed Liu,Andrew C. Myers,Robbert van Renesse	Safe Serializable Secure Scheduling: Transactions and the Trade-Off Between Security and Consistency.	ACM CCS	2016
Mahdi Zamani,Mahnush Movahedi,Mariana Raykova 0001	RapidChain: Scaling Blockchain via Full Sharding.	ACM CCS	2018
Vireshwar Kumar,Jung-Min Park 0001,Kaigui Bian	Blind Transmitter Authentication for Spectrum Security and Enforcement.	ACM CCS	2014
Theodore Diament,Homin K. Lee,Angelos D. Keromytis,Moti Yung	The dual receiver cryptosystem and its applications.	ACM CCS	2004
Bernd Finkbeiner,Christian Müller 0008,Helmut Seidl,Eugen Zalinescu	Verifying Security Policies in Multi-agent Workflows with Loops.	ACM CCS	2017
Guan-Hua Tu,Chi-Yu Li,Chunyi Peng 0001,Yuanjie Li,Songwu Lu	New Security Threats Caused by IMS-based SMS Service in 4G LTE Networks.	ACM CCS	2016
Michael Backes 0001,Ankit Malik,Dominique Unruh	Computational soundness without protocol restrictions.	ACM CCS	2012
Edward J. Schwartz,Cory F. Cohen,Jeffrey Gennari,Stephanie M. Schwartz	A Generic Technique for Automatically Finding Defense-Aware Code Reuse Attacks.	ACM CCS	2020
Prithvi Bisht,Timothy L. Hinrichs,Nazari Skrupsky,V. N. Venkatakrishnan	WAPTEC: whitebox analysis of web applications for parameter tampering exploit construction.	ACM CCS	2011
Dmitry Kogan,Nathan Manohar,Dan Boneh	T/Key: Second-Factor Authentication From Secure Hash Chains.	ACM CCS	2017
Michael T. Goodrich	Efficient packet marking for large-scale IP traceback.	ACM CCS	2002
Terran Lane,Carla E. Brodley	Temporal Sequence Learning and Data Reduction for Anomaly Detection.	ACM CCS	1998
Martin Georgiev,Subodh Iyengar,Suman Jana,Rishita Anubhai,Dan Boneh,Vitaly Shmatikov	The most dangerous code in the world: validating SSL certificates in non-browser software.	ACM CCS	2012
Jonghyuk Song,Sangho Lee 0001,Jong Kim 0001	CrowdTarget: Target-based Detection of Crowdturfing in Online Social Networks.	ACM CCS	2015
Chunyi Peng 0001,Chi-Yu Li,Hongyi Wang,Guan-Hua Tu,Songwu Lu	Real Threats to Your Data Bills: Security Loopholes and Defenses in Mobile Data Charging.	ACM CCS	2014
Giuseppe Ateniese,Stefan Mangard	A new approach to DNS security (DNSSEC).	ACM CCS	2001
Daniel De Almeida Braga,Pierre-Alain Fouque,Mohamed Sabt	PARASITE: PAssword Recovery Attack against Srp Implementations in ThE wild.	ACM CCS	2021
Ada Lerner,Tadayoshi Kohno,Franziska Roesner	Rewriting History: Changing the Archived Web from the Present.	ACM CCS	2017
Patrick Lincoln,John C. Mitchell,Mark Mitchell,Andre Scedrov	A Probabilistic Poly-Time Framework for Protocol Analysis.	ACM CCS	1998
Leyla Bilge,Yufei Han,Matteo Dell'Amico	RiskTeller: Predicting the Risk of Cyber Incidents.	ACM CCS	2017
Mihhail Aizatulin,Andrew D. Gordon 0001,Jan Jürjens	Computational verification of C protocol implementations by symbolic execution.	ACM CCS	2012
Cesar Pereida García,Billy Bob Brumley,Yuval Yarom	"Make Sure DSA Signing Exponentiations Really are Constant-Time".	ACM CCS	2016
Alexandra Boldyreva,Vipul Goyal,Virendra Kumar	Identity-based encryption with efficient revocation.	ACM CCS	2008
Steven H. Low,Sanjoy Paul,Nicholas F. Maxemchuk	Anonymous Credit Cards.	ACM CCS	1994
Klaus Becker,Uta Wille	Communication Complexity of Group Key Distribution.	ACM CCS	1998
Mathy Vanhoef,Frank Piessens	Release the Kraken: New KRACKs in the 802.11 Standard.	ACM CCS	2018
Eric Cronin,Sugih Jamin,Tal Malkin,Patrick D. McDaniel	On the performance, feasibility, and use of forward-secure signatures.	ACM CCS	2003
Sohaib ul Hassan,Iaroslav Gridin,Ignacio M. Delgado-Lozano,Cesar Pereida García,Jesús-Javier Chi-Domínguez,Alejandro Cabrera Aldaya,Billy Bob Brumley	Déjà Vu: Side-Channel Analysis of Mozilla's NSS.	ACM CCS	2020
Shirin Nilizadeh,Francois Labreche,Alireza Sedighian,Ali Zand,José M. Fernandez 0001,Christopher Krügel,Gianluca Stringhini,Giovanni Vigna	POISED: Spotting Twitter Spam Off the Beaten Paths.	ACM CCS	2017
Vladislav Mladenov,Christian Mainka,Karsten Meyer zu Selhausen,Martin Grothe,Jörg Schwenk	1 Trillion Dollar Refund: How To Spoof PDF Signatures.	ACM CCS	2019
Miro Enev,Sidhant Gupta,Tadayoshi Kohno,Shwetak N. Patel	Televisions, video privacy, and powerline electromagnetic interference.	ACM CCS	2011
Zhiyuan Jiang,Xiyue Jiang,Ahmad Hazimeh,Chaojing Tang,Chao Zhang 0008,Mathias Payer	Igor: Crash Deduplication Through Root-Cause Clustering.	ACM CCS	2021
Josh Aas,Richard Barnes,Benton Case,Zakir Durumeric,Peter Eckersley,Alan Flores-López,J. Alex Halderman,Jacob Hoffman-Andrews,James Kasten,Eric Rescorla,Seth D. Schoen,Brad Warren	Let's Encrypt: An Automated Certificate Authority to Encrypt the Entire Web.	ACM CCS	2019
Paul W. Cuff,Lanqing Yu	Differential Privacy as a Mutual Information Constraint.	ACM CCS	2016
Yu-Yuan Chen,Pramod A. Jamkhedkar,Ruby B. Lee	A software-hardware architecture for self-protecting data.	ACM CCS	2012
Hao Chen 0030,Zhicong Huang,Kim Laine,Peter Rindal	Labeled PSI from Fully Homomorphic Encryption with Malicious Security.	ACM CCS	2018
Ethan Cecchetti,Fan Zhang 0022,Yan Ji,Ahmed E. Kosba,Ari Juels,Elaine Shi	Solidus: Confidential Distributed Ledger Transactions via PVORM.	ACM CCS	2017
Soumya Basu 0003,Alin Tomescu,Ittai Abraham,Dahlia Malkhi,Michael K. Reiter,Emin Gün Sirer	Efficient Verifiable Secret Sharing with Share Recovery in BFT Protocols.	ACM CCS	2019
Matthew Green 0001,Watson Ladd,Ian Miers	A Protocol for Privately Reporting Ad Impressions at Scale.	ACM CCS	2016
Aoting Hu,Renjie Xie,Zhigang Lu,Aiqun Hu,Minhui Xue	TableGAN-MCA: Evaluating Membership Collisions of GAN-Synthesized Tabular Data Releasing.	ACM CCS	2021
Kangjie Lu,Chengyu Song,Byoungyoung Lee,Simon P. Chung,Taesoo Kim,Wenke Lee	ASLR-Guard: Stopping Address Space Leakage for Code Reuse Attacks.	ACM CCS	2015
Paul Dunphy,Jeff Yan	Do background images improve "draw a secret" graphical passwords?	ACM CCS	2007
Cynthia Sturton,Susmit Jha,Sanjit A. Seshia,David A. Wagner 0001	On voting machine design for verification and testability.	ACM CCS	2009
Yannis Rouselakis,Brent Waters	Practical constructions and new proof methods for large universe attribute-based encryption.	ACM CCS	2013
Michael Backes 0001,Mathias Humbert,Jun Pang 0001,Yang Zhang 0016	walk2friends: Inferring Social Links from Mobility Profiles.	ACM CCS	2017
Shuqin Fan,Wenbo Wang,Qingfeng Cheng	Attacking OpenSSL Implementation of ECDSA with a Few Signatures.	ACM CCS	2016
Sanjam Garg,Abishek Kumarasubramanian,Amit Sahai,Brent Waters	Building efficient fully collusion-resilient traitor tracing and revocation schemes.	ACM CCS	2010
Ioana Boureanu,Tom Chothia,Alexandre Debant,Stéphanie Delaune	Security Analysis and Implementation of Relay-Resistant Contactless Payments.	ACM CCS	2020
Rinku Dewri,Nayot Poolsappasit,Indrajit Ray,L. Darrell Whitley	Optimal security hardening using multi-objective optimization on attack tree models of networks.	ACM CCS	2007
Georgios Kellaris,George Kollios,Kobbi Nissim,Adam O'Neill	Generic Attacks on Secure Outsourced Databases.	ACM CCS	2016
Atri Bhattacharyya,Alexandra Sandulescu,Matthias Neugschwandtner,Alessandro Sorniotti,Babak Falsafi,Mathias Payer,Anil Kurmus	SMoTherSpectre: Exploiting Speculative Execution through Port Contention.	ACM CCS	2019
Gergei Bana,Hubert Comon-Lundh	A Computationally Complete Symbolic Attacker for Equivalence Properties.	ACM CCS	2014
Robin Sommer,Vern Paxson	Enhancing byte-level network intrusion detection signatures with context.	ACM CCS	2003
Daniel J. Bernstein,Andreas Hülsing,Stefan Kölbl,Ruben Niederhagen,Joost Rijneveld,Peter Schwabe	The SPHINCS	ACM CCS	2019
Massimo Bartoletti,Roberto Zunino	BitML: A Calculus for Bitcoin Smart Contracts.	ACM CCS	2018
Payman Mohassel,Peter Rindal,Mike Rosulek	Fast Database Joins and PSI for Secret Shared Data.	ACM CCS	2020
Eric Crockett,Chris Peikert	Λολ: Functional Lattice Cryptography.	ACM CCS	2016
Charalampos Papamanthou,Roberto Tamassia,Nikos Triandopoulos	Authenticated hash tables.	ACM CCS	2008
Ahmed M. Azab,Peng Ning,Zhi Wang 0004,Xuxian Jiang,Xiaolan Zhang 0001,Nathan C. Skalsky	HyperSentry: enabling stealthy in-context measurement of hypervisor integrity.	ACM CCS	2010
Harm Griffioen,Christian Doerr	Examining Mirai's Battle over the Internet of Things.	ACM CCS	2020
Rob Jansen,Aaron Johnson 0001	Safely Measuring Tor.	ACM CCS	2016
Hong Hu 0004,Chenxiong Qian,Carter Yagemann,Simon P. Chung,William R. Harris,Taesoo Kim,Wenke Lee	Enforcing Unique Code Target Property for Control-Flow Integrity.	ACM CCS	2018
Adithya Bhat,Nibesh Shrestha,Zhongtang Luo,Aniket Kate,Kartik Nayak	RandPiper - Reconfiguration-Friendly Random Beacons with Quadratic Communication.	ACM CCS	2021
Shashank Agrawal,Peihan Miao,Payman Mohassel,Pratyay Mukherjee	PASTA: PASsword-based Threshold Authentication.	ACM CCS	2018
Aurélien Francillon,Claude Castelluccia	Code injection attacks on harvard-architecture devices.	ACM CCS	2008
Shengqu Xi,Shao Yang,Xusheng Xiao,Yuan Yao 0001,Yayuan Xiong,Fengyuan Xu,Haoyu Wang 0001,Peng Gao 0008,Zhuotao Liu,Feng Xu 0007,Jian Lu 0001	DeepIntent: Deep Icon-Behavior Learning for Detecting Intention-Behavior Discrepancy in Mobile Apps.	ACM CCS	2019
David Pointcheval,Jacques Stern	New Blind Signatures Equivalent to Factorization (extended abstract).	ACM CCS	1997
Daiping Liu,Shuai Hao 0001,Haining Wang	All Your DNS Records Point to Us: Understanding the Security Threats of Dangling DNS Records.	ACM CCS	2016
Peng Liu 0005,Wanyu Zang	Incentive-based modeling and inference of attacker intent, objectives, and strategies.	ACM CCS	2003
Muhui Jiang,Lin Ma,Yajin Zhou,Qiang Liu,Cen Zhang,Zhi Wang 0004,Xiapu Luo,Lei Wu 0012,Kui Ren 0001	ECMO: Peripheral Transplantation to Rehost Embedded Linux Kernels.	ACM CCS	2021
Amir Moradi 0001,Alessandro Barenghi,Timo Kasper,Christof Paar	On the vulnerability of FPGA bitstream encryption against power analysis attacks: extracting keys from xilinx Virtex-II FPGAs.	ACM CCS	2011
Kathy Wain Yee Au,Yi Fan Zhou,Zhen Huang 0002,David Lie	PScout: analyzing the Android permission specification.	ACM CCS	2012
Vasilios Mavroudis,Andrea Cerulli,Petr Svenda,Daniel Cvrcek,Dusan Klinec,George Danezis	A Touch of Evil: High-Assurance Cryptographic Hardware from Untrusted Components.	ACM CCS	2017
Marcel Keller,Emmanuela Orsini,Peter Scholl	MASCOT: Faster Malicious Arithmetic Secure Computation with Oblivious Transfer.	ACM CCS	2016
Xiao Wang 0012,Yan Huang 0001,T.-H. Hubert Chan,Abhi Shelat,Elaine Shi	SCORAM: Oblivious RAM for Secure Computation.	ACM CCS	2014
Willem De Groef,Dominique Devriese,Nick Nikiforakis,Frank Piessens	FlowFox: a web browser with flexible and precise information flow control.	ACM CCS	2012
Jinyuan Jia,Ahmed Salem 0001,Michael Backes 0001,Yang Zhang 0016,Neil Zhenqiang Gong	MemGuard: Defending against Black-Box Membership Inference Attacks via Adversarial Examples.	ACM CCS	2019
Chris Brzuska,Marc Fischlin,Bogdan Warinschi,Stephen C. Williams	Composability of bellare-rogaway key exchange protocols.	ACM CCS	2011
Ernesto Damiani,Sabrina De Capitani di Vimercati,Sushil Jajodia,Stefano Paraboschi,Pierangela Samarati	Balancing confidentiality and efficiency in untrusted relational DBMSs.	ACM CCS	2003
Duminda Wijesekera,Sushil Jajodia	Policy algebras for access control the predicate case.	ACM CCS	2002
Marc Liberatore,Brian Neil Levine	Inferring the source of encrypted HTTP connections.	ACM CCS	2006
Prateek Mittal,Ahmed Khurshid,Joshua Juen,Matthew Caesar 0001,Nikita Borisov	Stealthy traffic analysis of low-latency anonymous communication using throughput fingerprinting.	ACM CCS	2011
Ky Nguyen,Miguel Ambrona,Masayuki Abe	WI is Almost Enough: Contingent Payment All Over Again.	ACM CCS	2020
Justin Brickell,Donald E. Porter,Vitaly Shmatikov,Emmett Witchel	Privacy-preserving remote diagnostics.	ACM CCS	2007
Simon Couch,Zeki Kazan,Kaiyan Shi,Andrew Bray,Adam Groce	Differentially Private Nonparametric Hypothesis Testing.	ACM CCS	2019
Talia Ringer,Dan Grossman,Franziska Roesner	AUDACIOUS: User-Driven Access Control with Unmodified Operating Systems.	ACM CCS	2016
R. Sekar 0001,Y. Guang,S. Verma,T. Shanbhag	A High-Performance Network Intrusion Detection System.	ACM CCS	1999
Assaf Ben-David,Noam Nisan,Benny Pinkas	FairplayMP: a system for secure multi-party computation.	ACM CCS	2008
Merve Sahin,Aurélien Francillon	Over-The-Top Bypass: Study of a Recent Telephony Fraud.	ACM CCS	2016
Ethan Cecchetti,Ben Fisch,Ian Miers,Ari Juels	PIEs: Public Incompressible Encodings for Decentralized Storage.	ACM CCS	2019
Victor van der Veen,Yanick Fratantonio,Martina Lindorfer,Daniel Gruss,Clémentine Maurice,Giovanni Vigna,Herbert Bos,Kaveh Razavi,Cristiano Giuffrida	Drammer: Deterministic Rowhammer Attacks on Mobile Platforms.	ACM CCS	2016
Milad Nasr,Amir Houmansadr	GAME OF DECOYS: Optimal Decoy Routing Through Game Theory.	ACM CCS	2016
Ran Canetti,Susan Hohenberger	Chosen-ciphertext secure proxy re-encryption.	ACM CCS	2007
Danfeng Yao,Nelly Fazio,Yevgeniy Dodis,Anna Lysyanskaya	ID-based encryption for complex hierarchies with applications to forward security and broadcast encryption.	ACM CCS	2004
Gilles Barthe,Benjamin Grégoire,Vincent Laporte,Swarn Priya	Structured Leakage and Applications to Cryptographic Constant-Time and Cost.	ACM CCS	2021
Yuval Ishai,Hang Su,David J. Wu	Shorter and Faster Post-Quantum Designated-Verifier zkSNARKs from Lattices.	ACM CCS	2021
Jean Paul Degabriele,Jérôme Govinden,Felix Günther 0001,Kenneth G. Paterson	The Security of ChaCha20-Poly1305 in the Multi-User Setting.	ACM CCS	2021
Lucjan Hanzlik,Daniel Slamanig	With a Little Help from My Friends: Constructing Practical Anonymous Credentials.	ACM CCS	2021
Zain Shamsi,Daren B. H. Cline,Dmitri Loguinov	Faulds: A Non-Parametric Iterative Classifier for Internet-Wide OS Fingerprinting.	ACM CCS	2017
Michael Backes 0001,Pascal Berrang,Mathias Humbert,Praveen Manoharan 0001	Membership Privacy in MicroRNA-based Studies.	ACM CCS	2016
Kai Engelhardt,Ron van der Meyden,Chenyi Zhang	Intransitive noninterference in nondeterministic systems.	ACM CCS	2012
Vincent Cheval,Hubert Comon-Lundh,Stéphanie Delaune	Trace equivalence decision: negative tests and non-determinism.	ACM CCS	2011
Seungwon Shin,Vinod Yegneswaran,Phillip A. Porras,Guofei Gu	AVANT-GUARD: scalable and vigilant switch flow management in software-defined networks.	ACM CCS	2013
Aggelos Kiayias,Stavros Papadopoulos 0001,Nikos Triandopoulos,Thomas Zacharias 0001	Delegatable pseudorandom functions and applications.	ACM CCS	2013
Karthikeyan Bhargavan,Cédric Fournet,Andrew D. Gordon 0001	Verifying policy-based security for web services.	ACM CCS	2004
Venkatanathan Varadarajan,Thawan Kooburat,Benjamin Farley,Thomas Ristenpart,Michael M. Swift	Resource-freeing attacks: improve your cloud performance (at your neighbor's expense).	ACM CCS	2012
Toshinori Araki,Assi Barak,Jun Furukawa 0001,Marcel Keller,Yehuda Lindell,Kazuma Ohara,Hikaru Tsuchida	Generalizing the SPDZ Compiler For Other Protocols.	ACM CCS	2018
Ernie Brickell,Jan Camenisch,Liqun Chen 0002	Direct anonymous attestation.	ACM CCS	2004
Chen Yan,Yan Long,Xiaoyu Ji 0001,Wenyuan Xu	The Catcher in the Field: A Fieldprint based Spoofing Detection for Text-Independent Speaker Verification.	ACM CCS	2019
Daniel Luchaup,Thomas Shrimpton,Thomas Ristenpart,Somesh Jha	Formatted Encryption Beyond Regular Languages.	ACM CCS	2014
Nektarios Leontiadis,Tyler Moore 0001,Nicolas Christin	A Nearly Four-Year Longitudinal Study of Search-Engine Poisoning.	ACM CCS	2014
R. Sekar 0001,Ajay Gupta 0002,J. Frullo,T. Shanbhag,A. Tiwari,H. Yang,S. Zhou	Specification-based anomaly detection: a new approach for detecting network intrusions.	ACM CCS	2002
Dennis Jackson,Cas Cremers,Katriel Cohn-Gordon,Ralf Sasse	Seems Legit: Automated Analysis of Subtle Attacks on Protocols that Use Signatures.	ACM CCS	2019
